train_end,test_start,test_end,rows_train,rows_test,acc_up,auc_up
2025-05-16,2025-05-19,2026-04-28,8237,7008,0.5189783105022832,0.5465733797540551
2025-08-26,2025-08-27,2026-04-28,10587,4658,0.514813224559897,0.5587481952000143
